10176
(454906254, 874.926, -633.642)
(454906262, 854.203, -690.773)
(454906277, 849.528, -632.242)
(454906278, 828.313, -685.878)
(454906279, 817.777, -729.902)
(454906281, 819.041, -753.088)
(454906282, 821.672, -769.342)
(454906297, 744.339, -728.755)
(454906305, 744.148, -737.936)
(454906309, 751.474, -744.48)
(454906327, 782.075, -722.192)
(454906333, 819.532, -591.849)
(454906337, 815.558, -627.356)
(454906340, 809.585, -670.985)
(454906346, 802.688, -705.76)
(454906372, 768.242, -684.223)
(454906373, 787.018, -698.493)
(454906384, 914.221, -754.251)
(454906385, 914.668, -791.439)
(454906391, 828.365, -779.207)
(454906393, 836.51, -782.772)
(454906396, 902.342, -742.085)
(454906398, 908.653, -696.922)
(454908545, 457.683, -779.547)
(454908555, 519.745, -836.138)
(454908558, 490.845, -853.678)
(454908561, 458.244, -772.518)
(454908563, 485.226, -764.755)
(454908564, 497.211, -798.135)
(454908576, 419.667, -807.38)
(455036794, 403.625, -801.324)
(455036796, 379.749, -805.212)
(455036798, 373.063, -803.495)
(455036799, 306.557, -764.949)
(455036800, 282.954, -752.116)
(455036801, 230.727, -750.306)
(455036808, 217.528, -748.346)
(455036809, 257.797, -736.914)
(455036811, 272.738, -742.475)
(455036812, 311.585, -714.618)
(455036815, 429.918, -810.86)
(455036818, 396.04, -779.528)
(455036819, 387.885, -755.702)
(455036820, 371.963, -743.784)
(455036824, 282.397, -667.47)
(455036826, 278.208, -662.613)
(455036827, 226.738, -683.046)
(455036828, 192.071, -695.9)
(455036831, 325.595, -647.534)
(455036832, 316.9, -633.935)
(455036833, 304.04, -621.783)
(455036834, 270.167, -607.069)
(455036836, 260.032, -596.34)
(455036837, 248.102, -561.704)
(455036838, 245.345, -555.931)
(455036839, 239.853, -548.347)
(455036840, 228.792, -527.896)
(455036843, 204.593, -492.841)
(455036845, 389.253, -531.737)
(455036847, 362.728, -529.429)
(455036848, 325.476, -535.033)
(455036849, 300.556, -539.724)
(455036850, 269.368, -537.955)
(455036851, 248.516, -529.32)
(455036855, 364.391, -432.862)
(455036856, 348.285, -416.704)
(455036858, 329.194, -394.308)
(455036860, 131.548, -512.611)
(455036861, 151.261, -535.284)
(455036863, 156.514, -557.711)
(455036864, 175.297, -596.317)
(455036866, 202.214, -679.72)
(455036867, 170.997, -734.801)
(455036874, 347.606, -698.517)
(455036877, 431.104, -875.166)
(455036879, 442.708, -813.275)
(455036882, 351.883, -836.369)
(455042784, -52.8033, -506.324)
(455042785, -53.0435, -513.851)
(455042788, -51.7446, -533.507)
(455042790, -40.4047, -545.576)
(455042791, -37.8426, -559.721)
(455042792, -35.33, -585.222)
(455042794, -197.011, -585.396)
(455042795, -225.5, -585.158)
(455042796, -271.357, -567.223)
(455042797, -304.322, -559.275)
(455042802, -272.321, -518.191)
(455042805, -215.123, -586.507)
(455042806, -222.999, -549.224)
(455042807, -223.522, -546.362)
(455042813, 269.939, -425.751)
(455042816, 62.3419, -535.886)
(455042817, 34.727, -555.995)
(455042818, 22.1051, -564.502)
(455042820, 1.11732, -573.018)
(455042822, -52.2633, -591.958)
